zh_TW,zh-CN,en-En,en手動調整,th-TH,泰文字數,建議字數,jp-JP,日文字數,建議字數,kr-KR,韓文字數,建議字數,vn-VN,越文字數,建議字數,jsonKey
未過審原因,未过审原因,Reasons for not approved,,เหตุผลที่ไม่มีการตรวจสอบ,,5,レビューなしの理由,,5,검토가없는 이유,,7,Lý do không xem xét,,11,bankAccountDetail.failStatusTip
申請修改,申请修改,Apply for Modification,,ใช้กับการแก้ไข,,4,修正に応募します,,4,수정하려면 적용하십시오,,5,Áp dụng để sửa đổi,,9,"bankAccountDetail.applyModifyButton,bankAccountDetail.fixDataButton"
修改密碼,修改密码,Change Password,,เปลี่ยนรหัสผ่าน,,4,パスワードを変更する,,4,비밀번호를 변경하십시오,,5,đổi mật khẩu,,9,"accountManager.changePassword,changePassword.appBarTitle"
設置,设置,Settings,,ติดตั้ง,,2,設定,,2,설정,,2,cài đặt,,4,accountManager.appBarTitle
帳戶資訊,帐户资讯,Account Information,,ข้อมูลเกี่ยวกับบัญชี,,4,口座情報,,4,계정 정보,,5,Thông tin tài khoản,,9,accountManager.accountInfo
請選擇入金帳戶,请选择入金帐户,Please select a deposit account.,,กรุณาเลือกบัญชีทองคำ,,8,ゴールドアカウントを選択してください,,7,금 계정을 선택하십시오,,9,Vui lòng chọn tài khoản vàng,,15,depositChannel.appBarTitle
入金帳戶,入金帐户,Deposit Account,,บัญชีทองคำ,,4,ゴールドアカウント,,4,금 계정,,5,Tài khoản vàng,,9,depositChannel.depositAccount
入金金額區間：,入金金额区间：,Deposit amount range:,,ปริมาณทองคำในทองคำ:,,8,金の金の量：,,7,금에 금의 양 :,,9,Lượng vàng trong vàng:,,15,depositChannel.amountRange
信用卡刷卡,信用卡刷卡,Pay with Credit Card,,บัตรกวาดบัตรเครดิต,,5,クレジットカードスワイプカード,,5,신용 카드 스 와이프 카드,,7,Thẻ quẹt thẻ tín dụng,,11,paymentCreditCard.appBarTitle
提交資料中,提交资料中,Submitting Information,,ส่งข้อมูล,,5,情報を送信する,,5,정보를 제출하십시오,,7,Gửi thông tin,,11,paymentCreditCard.getUrlLoading
請輸入正確的日期,请输入正确的日期,Please enter the correct date.,,กรุณากรอกวันที่ที่ถูกต้อง,,9,正しい日付を入力してください,,8,올바른 날짜를 입력하십시오,,11,Vui lòng nhập đúng ngày,,18,"paymentCreditCard.errorMonthFormat,paymentCreditCard.errorYearFormat"
請輸入有效的銀行卡號,请输入有效的银行卡号,Please enter the valid bank card number,,กรุณากรอกหมายเลขบัตรธนาคารที่ถูกต้อง,,11,有効な銀行カード番号を入力してください,,10,유효한 은행 카드 번호를 입력하십시오,,14,Vui lòng nhập số thẻ ngân hàng hợp lệ,,22,paymentCreditCard.errorCardNumberFormat
請輸入正確的安全碼,请输入正确的安全码,Please enter the correct security code.,,โปรดป้อนรหัสความปลอดภัยที่ถูกต้อง,,10,正しいセキュリティコードを入力してください,,9,올바른 보안 코드를 입력하십시오,,12,Vui lòng nhập đúng mã bảo mật,,20,paymentCreditCard.errorCardSecurityFormat
卡號,卡号,Card Number,,หมายเลขบัตร,,2,カード番号,,2,카드 번호,,2,số thẻ,,4,paymentCreditCard.cardNumberTitle
有效日期,有效日期,Valid Date,,วันที่ที่ถูกต้อง,,4,有効な日付,,4,유효한 날짜,,5,Ngày hợp lệ,,9,paymentCreditCard.validThruTitle
CVV 安全碼,CVV 安全码,CVV Security Code,,รหัสความปลอดภัย CVV,,7,CVVセキュリティコード,,6,CVV 보안 코드,,8,Mã bảo mật CVV,,13,paymentCreditCard.cardSecurityCodeTitle
持卡人姓名,持卡人姓名,Cardholder Name,,ชื่อผู้ถือบัตร,,5,カード所有者の名前,,5,카드 소지자의 이름,,7,tên chủ thẻ,,11,paymentCreditCard.cardOwnerTitle
MM,MM,MM,,มม.,,2,んん,,2,MM,,2,Mm,,4,paymentCreditCard.monthHint
YY,YY,YY,,yy,,2,yy,,2,YY,,2,YY,,4,paymentCreditCard.yearHint
請輸入信用卡號,请输入信用卡号,Please enter your credit card number.,,กรุณากรอกหมายเลขบัตรเครดิต,,8,クレジットカード番号を入力してください,,7,신용 카드 번호를 입력하십시오,,9,Vui lòng nhập số thẻ tín dụng,,15,paymentCreditCard.cardNumberHint
安全碼,安全码,Security code,,รหัสรักษาความปลอดภัย,,3,セキュリティコード,,3,보안 코드,,4,Mã bảo mật,,6,paymentCreditCard.cardSecurityCodeHint
交易成功,交易成功,Successful Transaction,,ธุรกรรมที่ประสบความสำเร็จ,,4,成功したトランザクション,,4,성공적인 거래,,5,Giao dịch thành công,,9,paymentCreditCard.transactionCompleteTitle
刷卡金額,刷卡金额,Credit Card Charges,,จำนวนบัตรเครดิต,,4,クレジットカードの金額,,4,신용 카드 금액,,5,Số tiền thẻ tín dụng,,9,paymentCreditCard.swipeCardValue
刷卡時間,刷卡时间,Credit card swipe time,,เวลาปัด,,4,スワイプ時間,,4,스 와이프 시간,,5,Thời gian vuốt,,9,paymentCreditCard.swipeCardTime
匯率,汇率,Exchange Rate,,อัตราแลกเปลี่ยน,,2,為替レート,,2,환율,,2,tỷ giá,,4,paymentCreditCard.exchangeRate
立刻前往交易,立刻前往交易,Go to Trade Now,,ไปที่ธุรกรรมทันที,,7,すぐにトランザクションに移動します,,6,즉시 거래로 이동하십시오,,8,Đi đến giao dịch ngay lập tức,,13,paymentCreditCard.toMarketButton
"請使用本人的帳戶轉帳
帳戶有效期限各家銀行不同
請留意入金帳戶是否正確
轉帳金額務必一致
請勿重複轉帳","请使用本人的帐户转帐
帐户有效期限各家银行不同
请留意入金帐户是否正确
转帐金额务必一致
请勿重复转帐","Please transfer funds through your own account. 
Account validity period varies from bank to bank. 
Please note whether the deposit account is correct. 
The transfer amount must be consistent. 
Please do not make duplicate transfers.",,"กรุณาใช้บัญชีของฉันเพื่อโอน
ระยะเวลาที่ถูกต้องบัญชีของบัญชีจะแตกต่างจากแต่ละธนาคาร
โปรดให้ความสนใจว่าบัญชีในบัญชีทองถูกต้องหรือไม่
จำนวนการโอนจะต้องสอดคล้องกัน
อย่าทำซ้ำการถ่ายโอน",,55,"アカウントを使用して転送してください
アカウントのアカウントの有効期間は、各銀行とは異なります
ゴールドアカウントのアカウントが正しいかどうかに注意してください
転送量は一貫している必要があります
転送を繰り返さないでください",,47,"내 계정을 사용하여 전송하십시오
계정의 계정 유효 기간은 각 은행과 다릅니다.
금 계정의 계정이 올바른지 여부에주의하십시오.
전송 금액은 일관성이 있어야합니다
전송을 반복하지 마십시오",,65,"Vui lòng sử dụng tài khoản của tôi để chuyển
Thời gian hợp lệ của tài khoản của tài khoản khác với mỗi ngân hàng
Vui lòng chú ý xem liệu tài khoản trong tài khoản vàng có đúng không
Số tiền chuyển phải nhất quán
Không lặp lại việc chuyển nhượng",,105,depositCheck.contentTip
確認變更,确认变更,The change has been confirmed.,,ยืนยันการเปลี่ยนแปลง,,4,変更を確認します,,4,변경 사항을 확인하십시오,,5,Xác nhận thay đổi,,9,changePassword.modifyButton
"密碼變更成功, 請重新登入","密码变更成功, 请重新登入",The password was changed successfully. Please log in again.,,,,12,,,11,,,15,,,24,changePassword.changeSuccessToast
驗證電話,验证电话,Verify Phone Number,,โทรศัพท์ตรวจสอบ,,4,確認電話,,4,확인 전화,,5,Điện thoại xác minh,,9,phoneBind.appBarTitle
已成功綁定電話,已成功绑定电话,Phone number bound successfully,,ผูกโทรศัพท์สำเร็จ,,8,電話を正常にバインドします,,7,전화를 성공적으로 바인딩합니다,,9,Liên kết thành công điện thoại,,15,phoneBind.bindSuccess
登入成功,登入成功,Logged in successfully,,ลงชื่อเข้าใช้อย่างเต็มที่,,4,サインインサインインしてください,,4,서명으로 로그인하십시오,,5,Đăng nhập vào tình trạng,,9,login.loginSuccess
立刻註冊,立刻注册,Register Now,,ลงทะเบียนทันที,,4,すぐに登録してください,,4,즉시 등록하십시오,,5,Đăng ký ngay lập tức,,9,login.registerNowButton
忘記密碼？,忘记密码？,Forgot your password?,,ลืมรหัสผ่าน?,,5,パスワードを忘れますか？,,5,비밀번호 분실?,,7,quên mật khẩu?,,11,login.forgetPasswordButton
手機登入,手机登入,Mobile login,,,,4,,,4,,,5,,,9,login.phoneLogin
信箱登入,信箱登入,Email login,,,,4,,,4,,,5,,,9,login.emailLogin
將會需要 1-5 個工作天，確認驗證完畢，您就可以入金，享受交易了,将会需要 1-5 个工作天，确认验证完毕，您就可以入金，享受交易了,"It will take 1-5 working days. After the verification is completed, you can deposit funds and enjoy the transaction.",,จะต้องใช้ 1-5 วันทำการ หลังจากยืนยันการตรวจสอบแล้วคุณสามารถป้อนทองคำและเพลิดเพลินกับการทำธุรกรรม,,36,1〜5営業日が必要になります。検証を確認した後、ゴールドに入って取引を楽しむことができます,,31,1-5 일이 필요합니다. 검증 확인 후 금에 들어가서 거래를 즐길 수 있습니다.,,43,"Nó sẽ cần 1-5 ngày làm việc. Sau khi xác nhận xác minh, bạn có thể nhập vàng và tận hưởng giao dịch",,69,identifyVerificationResult.content
回首頁,回首页,Return to Homepage,,กลับไปที่หน้าแรก,,3,ホームページに戻ります,,3,홈페이지로 돌아갑니다,,4,Quay lại trang chủ,,6,identifyVerificationResult.backToHome
身份證明文件,身份证明文件,Identity Document,,เอกสารประจำตัว,,7,身分証明書,,6,신원 문서,,8,Tài liệu nhận dạng,,13,fileVerify.idCardTitle
缺少身分證正面,缺少身分证正面,Lack of the front of your ID card,,ขาดบัตรประจำตัวที่เป็นบวก,,8,ポジティブなIDカードの不足,,7,긍정적 인 ID 카드 부족,,9,Thiếu thẻ ID dương tính,,15,fileVerify.errorIdForwardEmpty
缺少身分證反面,缺少身分证反面,Lack of the reverse side of your ID card,,ขาดบัตรประจำตัวประชาชน,,8,IDカードの不足,,7,ID 카드 부족,,9,Thiếu thẻ ID,,15,fileVerify.errorIdBackwardEmpty
請上傳護照,请上传护照,Please upload your passport.,,กรุณาอัปโหลดหนังสือเดินทางของคุณ,,5,パスポートをアップロードしてください,,5,여권을 업로드하십시오,,7,Vui lòng tải lên hộ chiếu của bạn,,11,fileVerify.errorPassportEmpty
缺少駕照正面,缺少驾照正面,Lack of the front of your driver's license,,ไม่มีใบขับขี่,,7,運転免許証の前面の欠如,,6,운전 면허증의 전면 부족,,8,Thiếu giấy phép lái xe trước,,13,fileVerify.errorDrivingLicenseForwardEmpty
缺少駕照反面,缺少驾照反面,Lack of the reverse side of your driver's license,,ขาดใบขับขี่ย้อนกลับ,,7,運転免許証の欠如の逆,,6,운전 면허증 반대 부족,,8,Thiếu giấy phép lái xe ngược lại,,13,fileVerify.errorDrivingLicenseBackwardEmpty
請上傳戶口名簿/居留證,请上传户口名簿/居留证,Please upload your household certificate/residence certificate.,,กรุณาอัปโหลดหนังสือปากครัว/ที่อยู่อาศัย,,12,家庭用口の本/居住証明書をアップロードしてください,,11,가정용 구강 책/거주 증명서를 업로드하십시오,,15,Vui lòng tải lên chứng chỉ Sách/Cư trú Hộ gia đình,,24,fileVerify.errorAccountBookOrResidentPermitEmpty
"下一步, 身分驗證","下一步, 身分验证",Next step: Identity Verification,,ถัดไปการตรวจสอบตัวตน,,8,次に、ID検証,,7,"다음으로, 신원 확인",,9,"Tiếp theo, xác minh danh tính",,15,fileVerify.nextStepIdCard
點擊上傳或拍攝身份證明文件正面,点击上传或拍摄身份证明文件正面,Click to upload or take a photo of the front of your identity document.,,คลิกเพื่ออัปโหลดหรือถ่ายภาพด้านหน้าของเอกสารประจำตัว,,17,クリックして識別ドキュメントの前面をアップロードまたは撮影します,,15,식별 문서의 전면을 업로드하거나 촬영하려면 클릭하십시오.,,21,Nhấp để tải lên hoặc bắn mặt trước của tài liệu nhận dạng,,33,fileVerify.tapUploadIdCardForward
點擊上傳或拍攝身份證明文件反面,点击上传或拍摄身份证明文件反面,Click to upload or take a photo of the reverse side of your identity document.,,คลิกเพื่ออัปโหลดหรือถ่ายภาพเอกสารตัวตนย้อนกลับ,,17,クリックしてアイデンティティドキュメントを逆にアップロードまたは撮影します,,15,클릭하여 Identity Document Reverse를 업로드하거나 촬영하십시오,,21,Nhấp để tải lên hoặc chụp ngược tài liệu nhận dạng,,33,fileVerify.tapUploadIdCardBackward
點擊上傳或拍攝護照,点击上传或拍摄护照,Click to upload or take a photo of your passport.,,คลิกเพื่ออัปโหลดหรือใช้หนังสือเดินทาง,,10,クリックしてアップロードするか、パスポートを取得します,,9,클릭하여 여권을 업로드하거나 가져갑니다,,12,Bấm để tải lên hoặc lấy hộ chiếu,,20,fileVerify.tapUploadPassport
點擊上傳或拍攝駕照正面,点击上传或拍摄驾照正面,Click to upload or take a photo of the front of your driver's license.,,คลิกเพื่ออัปโหลดหรือใช้ใบขับขี่,,12,クリックしてアップロードするか、運転免許証の前面を取得します,,11,업로드하거나 운전 면허증의 전면을 클릭하십시오.,,15,Bấm để tải lên hoặc nhận tiền mặt của người lái xe,,24,fileVerify.tapUploadDrivingLicenseForward
點擊上傳或拍攝駕照反面,点击上传或拍摄驾照反面,Click to upload or take the reverse side of your driver's license.,,คลิกเพื่ออัปโหลดหรือยิงด้านตรงข้ามของใบขับขี่,,12,クリックして、運転免許証の反対側をアップロードまたは撮影します,,11,운전 면허증의 반대쪽을 업로드하거나 촬영하려면 클릭하십시오.,,15,Bấm để tải lên hoặc bắn phía đối diện của giấy phép lái xe,,24,fileVerify.tapUploadDrivingLicenseBackward
點擊上傳或拍攝戶口名簿/居留證,点击上传或拍摄户口名簿/居留证,Click to upload or take a photo of your household certificate/residence certificate.,,คลิกเพื่ออัปโหลดหรือยิงใบรับรองบัญชี/ที่อยู่อาศัย,,17,クリックしてアカウントブック/居住証明書をアップロードまたは撮影する,,15,계정 책/거주 인증서를 업로드하거나 촬영하려면 클릭하십시오.,,21,Bấm để tải lên hoặc bắn giấy chứng nhận Sổ/Cư trú tài khoản,,33,fileVerify.tapUploadAccountBookOrResidentPermit
步驟2 - 文件驗證(2/4),步骤2 - 文件验证(2/4),Step 2-Document Verification (2/4),,ขั้นตอนที่ 2 -การตรวจสอบไฟล์ (2/4),,15,ステップ2-ファイル検証（2/4）,,13,2 단계 -파일 확인 (2/4),,18,Bước 2 -File Xác minh (2/4),,29,fileVerify.stepHeaderTitle
共1題,共1题,1 question in total,,1 คำถาม,,3,1つの質問,,3,1 질문,,4,1 câu hỏi,,6,"fileVerify.stepHeaderSubtitle,handIdCardVerify.stepHeaderSubtitle,proveIdVerify.stepHeaderSubtitle"
請確保文件內容顯示您的全名、出生日期、證件開立日期,请确保文件内容显示您的全名丶出生日期丶证件开立日期,"Please make sure that your full name, birth date, and ID issuance date are shown in the document.",,โปรดตรวจสอบให้แน่ใจว่าเนื้อหาไฟล์แสดงชื่อเต็มวันเกิดและวันที่เปิดเอกสารของคุณ,,29,ファイルのコンテンツにフルネーム、生年月日、および文書の開設日が表示されていることを確認してください,,25,"파일 콘텐츠에 이름, 생년월일 및 문서 개방일이 표시되는지 확인하십시오.",,35,"Vui lòng đảm bảo nội dung tệp hiển thị tên đầy đủ, ngày sinh và ngày mở tài liệu của bạn",,56,fileVerify.contentTip
合格文件,合格文件,Qualified document,,ไฟล์ที่ผ่านการรับรอง,,4,資格のあるファイル,,4,자격을 갖춘 파일,,5,Tệp đủ điều kiện,,9,fileVerify.qualifiedFile
"照片清晰
解析度高
證件四角皆有入鏡","照片清晰
解析度高
证件四角皆有入镜","Clear photos 
High resolution 
The four corners of the ID card are shown in the photo.",,"รูปถ่ายล้าง
ความละเอียดสูง
มีกระจกอยู่ในมุมทั้งสี่ของเอกสาร",,18,"クリア写真
高解像度
ドキュメントの四隅に鏡があります",,16,"명확한 사진
높은 해상도
문서의 네 구석에 거울이 있습니다.",,22,"Hình ảnh rõ ràng
Độ phân giải cao
Có gương trong bốn góc của các tài liệu",,36,fileVerify.qualifiedFileTip
不合格文件,不合格文件,Unqualified document,,ไฟล์ที่ไม่มีเงื่อนไข,,5,資格のないファイル,,5,자격이없는 파일,,7,Tập tin không đủ tiêu chuẩn,,11,fileVerify.failedFile
"照片模糊、反光
解析度過低
證件四角被裁切","照片模糊丶反光
解析度过低
证件四角被裁切","Blurred and reflective photo 
Low Resolution 
The four corners of the ID document are cut.",,"ภาพถ่ายที่คลุมเครือสะท้อนแสง
การวิเคราะห์มากเกินไป
สี่มุมของใบรับรองถูกตัด",,22,"あいまいな写真、反射
過度の分析
証明書の四隅が切断されます",,19,"모호한 사진, 반사
과도한 분석
인증서의 네 모서리가 잘립니다",,26,"Những bức ảnh mơ hồ, phản chiếu
Phân tích quá mức
Bốn góc của chứng chỉ được cắt",,42,fileVerify.failedFileTip
身分證,身分证,ID card,,,,3,,,3,,,4,,,6,fileVerify.identityCard
護照,护照,Passport,,,,2,,,2,,,2,,,4,fileVerify.passport
駕照,驾照,Driver's license,,,,2,,,2,,,2,,,4,fileVerify.drivingLicense
戶口名簿 / 居留證,户口名簿 / 居留证,Household certificate/Residence certificate,,,,9,,,8,,,11,,,18,fileVerify.accountBookOrResidentPermit
請輸入證件號碼,请输入证件号码,Please enter the ID number,,,,8,,,7,,,9,,,15,fileVerify.errorIdNumberEmpty
請輸入您的證件號碼,请输入您的证件号码,Please enter your ID number,,,,10,,,9,,,12,,,20,fileVerify.idNumberHint
餘額不足,馀额不足,Insufficient balance,,,,4,,,4,,,5,,,9,"serverApiError.payment1,serverApiError.order2"
金額超出限制,金额超出限制,The amount exceeds the limit,,,,7,,,6,,,8,,,13,serverApiError.payment2
每日出金次數已達上限,每日出金次数已达上限,The maximum number of daily withdrawals has been reached,,,,11,,,10,,,14,,,22,serverApiError.payment3
"當前已有出金訂單審核中, 請勿重複出金","当前已有出金订单审核中, 请勿重复出金","There is a withdrawal order review, please do not repeat the withdrawal",,,,20,,,17,,,23,,,38,serverApiError.payment4
當前非出金時段,当前非出金时段,Not in withdrawal hours,,,,8,,,7,,,9,,,15,serverApiError.payment5
驗證碼錯誤,验证码错误,Verification code error,,,,5,,,5,,,7,,,11,serverApiError.account1
"資料已綁定, 請勿重複綁定","资料已绑定, 请勿重复绑定","The information has been bound, please do not bind it again",,,,12,,,11,,,15,,,24,serverApiError.account2
"實名認證資料已綁定, 請勿重複綁定","实名认证资料已绑定, 请勿重复绑定","The real-name authentication information has already been bound, please do not bind it again",,,,17,,,15,,,21,,,33,serverApiError.account3
"無法註冊, 請聯繫客服","无法注册, 请联系客服","Unable to register, please contact customer service",,,,10,,,9,,,12,,,20,serverApiError.account4
請先綁定手機號,请先绑定手机号,Please connect your phone first,,,,8,,,7,,,9,,,15,serverApiError.account5
查無此產品,查无此产品,No product found,,,,5,,,5,,,7,,,11,serverApiError.order1
查無持倉,查无持仓,No open positions yet.,,,,4,,,4,,,5,,,9,serverApiError.order3
"綁定失敗, 已綁定過的資料","绑定失败, 已绑定过的资料","Binding failed, already bound data",,,,12,,,11,,,15,,,24,serverApiError.account6
帳密錯誤,帐密错误,Account password error,,,,4,,,4,,,5,,,9,serverApiError.http400
保證金比例過低提示! ({percent}%),保证金比例过低提示! ({percent}%),Reminder of margin ratio too low! ({percent}%),,เคล็ดลับสำหรับอัตรากำไรขั้นต้นที่ต่ำเกินไป! ({percent}%),,15 + ?,マージンが低すぎるためのヒント！（{percent}％）,,13 + ?,너무 낮은 마진에 대한 팁! ({percent}%),,18 + ?,Lời khuyên cho tỷ lệ lợi nhuận quá thấp! ({percent}%),,29 + ?,marginLevelWarningBar.tip
請先上傳手持證件照,请先上传手持证件照,Please upload a photo of your hand-holding the ID card.,,กรุณาอัปโหลดมือของคุณ -การ์ด,,10,手を添えたカードをアップロードしてください,,9,손 -헬드 카드를 업로드하십시오,,12,Vui lòng tải lên thẻ của bạn,,20,handIdCardVerify.errorPictureEmpty
完成身份證明上傳,完成身份证明上传,Uploading the identity documents is completed.,,อัปโหลดใบรับรองข้อมูลประจำตัวที่สมบูรณ์,,9,完全な身元証明書のアップロード,,8,완전한 신분증 인증서 업로드,,11,Hoàn thành tải lên chứng chỉ nhận dạng,,18,handIdCardVerify.completeButton
"點擊上傳或拍攝
手持身分證或護照的自拍照","点击上传或拍摄
手持身分证或护照的自拍照",Click to upload or take a selfie of hand-holding your ID Card or Passport,,"คลิกเพื่ออัปโหลดหรือถ่ายภาพ
เซลฟี่ของการถือบัตรประจำตัวหรือหนังสือเดินทาง",,22,"クリックしてアップロードまたは撮影します
IDカードまたはパスポートを保持するセルフィー",,19,"업로드하거나 촬영하려면 클릭하십시오
신분증 또는 여권을 보유하는 셀카",,26,"Bấm để tải lên hoặc bắn
Selfie của giữ thẻ ID hoặc hộ chiếu",,42,handIdCardVerify.tapUpload
"手持證件照自拍上傳時,須符合以下條件","手持证件照自拍上传时,须符合以下条件",The following conditions must be met when uploading a selfie of hand-holding your ID card.,,เมื่ออัพโหลดใบรับรองมือถือต้องปฏิบัติตามเงื่อนไขต่อไปนี้,,20,ハンドヘルド証明書がアップロードされるとき、次の条件を満たす必要があります,,17,핸드 헬드 인증서가 업로드되면 다음 조건을 충족해야합니다.,,23,"Khi chứng chỉ cầm tay được tải lên, các điều kiện sau phải được đáp ứng",,38,handIdCardVerify.pictureTipTitle
請保留頭頂至下巴完整輪廓,请保留头顶至下巴完整轮廓,Please show the complete outline from the top of your head to your chin.,,โปรดเก็บโครงร่างเต็มของหัวไปที่คางล่าง,,14,頭の完全な輪郭を下のあごまで保管してください,,12,머리의 전체 개요를 하단 턱으로 유지하십시오.,,16,Vui lòng giữ đường viền đầy đủ của đầu đến cằm dưới,,27,handIdCardVerify.pictureTipContent1
身份證置於臉旁勿遮住臉部,身份证置于脸旁勿遮住脸部,Place your ID card next to your face and do not cover your face.,,อย่าปิดหน้าใบหน้าของคุณ,,14,顔を顔で覆わないでください,,12,얼굴로 얼굴을 덮지 마십시오,,16,Không che mặt bằng khuôn mặt của bạn,,27,handIdCardVerify.pictureTipContent2
手指請勿遮住證件文字,手指请勿遮住证件文字,Do not cover the text on the ID card with your fingers.,,อย่าครอบคลุมข้อความของนิ้วมือของคุณ,,11,指のテキストをカバーしないでください,,10,손가락의 텍스트를 덮지 마십시오,,14,Không bao gồm văn bản của ngón tay của bạn,,22,handIdCardVerify.pictureTipContent3
步驟4 - 證明身份(4/4),步骤4 - 证明身份(4/4),Step 4-Identity Proofing (4/4),,ขั้นตอนที่ 4 -เอกลักษณ์ของ Prove (4/4),,15,ステップ4 -Prove ID（4/4）,,13,4 단계 -정체성 (4/4),,18,Bước 4 -Noái nhận dạng (4/4),,29,handIdCardVerify.stepHeaderTitle
請先上傳信件照片,请先上传信件照片,Please upload photos of your letters.,,กรุณาอัปโหลดรูปภาพข้อความก่อน,,9,最初にメッセージ写真をアップロードしてください,,8,먼저 메시지 사진을 업로드하십시오,,11,Vui lòng tải lên ảnh tin nhắn trước,,18,proveIdVerify.errorLetterEmpty
請先上傳帳單照片,请先上传帐单照片,Please upload photos of your bills.,,กรุณาอัปโหลดรูปภาพบัญชีก่อน,,9,最初にアカウントの写真をアップロードしてください,,8,먼저 계정 사진을 업로드하십시오,,11,Vui lòng tải lên ảnh tài khoản trước,,18,proveIdVerify.errorBillEmpty
信件,信件,Letter,,จดหมาย,,2,手紙,,2,편지,,2,bức thư,,4,proveIdVerify.letterTypeTitle
帳單,帐单,Bill,,ใบแจ้งหนี้,,2,明細書,,2,계산서,,2,hóa đơn,,4,proveIdVerify.billTypeTitle
證明身份,证明身份,Identity Proofing,,การพิสูจน์,,4,証拠,,4,증거,,5,Bằng chứng,,9,proveIdVerify.typeSelectTitle
點擊上傳或拍攝信件,点击上传或拍摄信件,Click to upload or take a photo of your letter.,,คลิกเพื่ออัปโหลดหรือถ่ายภาพตัวอักษร,,10,クリックして文字をアップロードまたは撮影します,,9,문자를 업로드하거나 촬영하려면 클릭하십시오,,12,Bấm để tải lên hoặc bắn các chữ cái,,20,proveIdVerify.uploadLetterTitle
點擊上傳或拍攝帳單,点击上传或拍摄帐单,Click to upload or take a photo of your bill.,,คลิกเพื่ออัปโหลดหรือยิงบิล,,10,クリックして請求書をアップロードまたは撮影します,,9,청구서를 업로드하거나 촬영하려면 클릭하십시오,,12,Bấm để tải lên hoặc bắn hóa đơn,,20,proveIdVerify.uploadBillTitle
步驟3 - 證明身份(3/4),步骤3 - 证明身份(3/4),Step 3-Identity Proofing (3/4),,ขั้นตอนที่ 3 -เอกลักษณ์ของ Prove (3/4),,15,ステップ3-アイデンティティ（3/4）プローブ,,13,3 단계 -정체성 (3/4),,18,Bước 3 -Noái nhận dạng (3/4),,29,proveIdVerify.stepHeaderTitle
"下一步, 證明身份","下一步, 证明身份",Next step: Identity Proofing,,,,8,,,7,,,9,,,15,proveIdVerify.nextStepProve
重新上傳,重新上传,Re-upload,,อัปเดตใหม่,,4,再アップロード,,4,재 포장,,5,Tải lại,,9,imagePicker.reUpload
加入照片,加入照片,Add Photos,,เพิ่มรูปภาพ,,4,写真を追加します,,4,사진 추가,,5,Thêm ảnh,,9,imagePicker.sheet.title
拍照,拍照,Take photos,,ถ่ายภาพ,,2,写真,,2,사진,,2,ảnh chụp,,4,imagePicker.sheet.camera
從相簿中選取,从相簿中选取,Select from photo album,,เลือกจากอัลบั้ม,,7,アルバムから選択します,,6,앨범에서 선택하십시오,,8,Chọn từ album,,13,imagePicker.sheet.gallery
去入金,去入金,Deposit Now,,ไปที่ทองคำ,,3,金に行きます,,3,금으로 가십시오,,4,Đi đến vàng,,6,futuresMarket.toDeposit
身份驗證,身份验证,Identity Verification,,การรับรองความถูกต้อง,,4,認証,,4,입증,,5,Xác thực,,9,identifyVerification.appBarTitle
上傳送審資料成功,上传送审资料成功,Documents for Review Uploaded and Submitted Successfully,,ความสำเร็จ,,9,成功,,8,성공,,11,Thành công,,18,identifyVerification.uploadSuccess
(已讀),(已读),(Read),,(ได้อ่าน),,4,（読んだ）,,4,(읽었다),,5,(Đã đọc),,9,messageNotify.haveRead
輸入搜索條件,输入搜索条件,Enter search criteria,,ป้อนเงื่อนไขการค้นหา,,7,検索条件を入力します,,6,검색 조건을 입력하십시오,,8,Nhập điều kiện tìm kiếm,,13,qaSearch.searchHint
搜索結果,搜索结果,Search Results,,ผลการค้นหา,,4,の検索結果,,4,검색 결과,,5,kết quả tìm kiếm,,9,qaSearch.searchResult
請輸入搜索條件,请输入搜索条件,Please enter search criteria.,,กรุณากรอกเงื่อนไขการค้นหา,,8,検索条件を入力してください,,7,검색 조건을 입력하십시오,,9,Vui lòng nhập điều kiện tìm kiếm,,15,qaSearch.searchTextEmptyTip
無匹配資料,无匹配资料,No information in search results,,ค้นหาโดยไม่มีข้อมูล,,5,情報なしで検索します,,5,정보없이 검색하십시오,,7,Tìm kiếm mà không cần thông tin,,11,qaSearch.searchResultEmptyTip
用戶協議,用户协议,User Agreement,,ข้อตกลงการใช้,,4,ユーザー規約,,4,사용자 계약,,5,sự thỏa thuận của người dùng,,9,userProtocol.appBarTitle
今日不再通知,今日不再通知,No more notifications today,,ไม่มีการแจ้งให้ทราบอีกต่อไปในวันนี้,,7,今日はもう気づかない,,6,오늘은 더 이상 통지가 없습니다,,8,Không có thêm thông báo hôm nay,,13,marginLevelWarningPopup.todayNoNotify
保證金比例,保证金比例,Margin ratio,,อัตราส่วนอัตราส่วน,,5,マージン比,,5,여백 비율,,7,Tỷ lệ biên,,11,marginLevelWarningPopup.marginLevel
保證金比例風險過高,保证金比例风险过高,Margin ratio at high risk,,อัตราส่วนความเสี่ยงของอัตรากำไรขั้นต้นสูงเกินไป,,10,マージン比のリスクが高すぎます,,9,마진 비율의 위험이 너무 높습니다,,12,Nguy cơ tỷ lệ ký quỹ quá cao,,20,marginLevelWarningPopup.warningReason
